proposal_id,category,proposal_name,system_size_kw,inverter_brand,module_brand,approx_price,estimated_yearly_savings
501,Budget,"4kW Budget System",4.0,"GoodWe","Jinko",10000,800
502,Budget,"4.5kW Budget System",4.5,"GoodWe","Waaree",11250,900
503,Budget,"5kW Budget System",5.0,"GoodWe","Jinko",12500,1000
504,Budget,"5.5kW Budget System",5.5,"GoodWe","Waaree",13750,1100
505,Budget,"6kW Budget System",6.0,"GoodWe","Jinko",15000,1200
506,Budget,"4.2kW Alt Budget",4.2,"Growatt","Jinko",10500,840
507,Budget,"4.8kW Alt Budget",4.8,"Growatt","Waaree",12000,960
508,Budget,"5.2kW Alt Budget",5.2,"Growatt","Jinko",13000,1040
509,Budget,"5.8kW Alt Budget",5.8,"Growatt","Waaree",14500,1160
510,Budget,"6.2kW Alt Budget",6.2,"Growatt","Jinko",15500,1240
511,Standard,"5kW Standard System",5.0,"Sungrow","Trina",15000,1100
512,Standard,"5.5kW Standard System",5.5,"Sungrow","Trina",16500,1210
513,Standard,"6kW Standard System",6.0,"Sungrow","Trina",18000,1320
514,Standard,"6.5kW Standard System",6.5,"Sungrow","Longi",19500,1430
515,Standard,"7kW Standard System",7.0,"Sungrow","Longi",21000,1540
516,Standard,"5.8kW Alt Standard",5.8,"SMA","Trina",17400,1270
517,Standard,"6.2kW Alt Standard",6.2,"SMA","Trina",18600,1360
518,Standard,"6.8kW Alt Standard",6.8,"SMA","Longi",20400,1490
519,Standard,"7.2kW Alt Standard",7.2,"SMA","Longi",21600,1580
520,Standard,"7.5kW Alt Standard",7.5,"SMA","Longi",22500,1650
521,Premium,"6kW Premium System",6.0,"Enphase","REC",24000,1500
522,Premium,"6.5kW Premium System",6.5,"Enphase","REC",26000,1625
523,Premium,"7kW Premium System",7.0,"Enphase","SunPower",28000,1750
524,Premium,"7.5kW Premium System",7.5,"Enphase","SunPower",30000,1875
525,Premium,"8kW Premium System",8.0,"Enphase","REC",32000,2000
526,Premium,"6.8kW Alt Premium",6.8,"SolarEdge","LG",27200,1700
527,Premium,"7.2kW Alt Premium",7.2,"SolarEdge","LG",28800,1800
528,Premium,"7.8kW Alt Premium",7.8,"SolarEdge","Panasonic",31200,1950
529,Premium,"8.2kW Alt Premium",8.2,"SolarEdge","Panasonic",32800,2050
530,Premium,"8.5kW Alt Premium",8.5,"SolarEdge","SunPower",34000,2125
